,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
169,Leyre Baldellou Aguirre,171,26,6,3,3,50,2,Eugenia Guimet Bigas,Drive,Estella,23/10/2001,"1,72 ",Ayegui,https://www.worldpadeltour.com/jugadores/leyre-baldellou-aguirre/,05/04/2021
170,María Cristina López Fuertes,171,26,4,0,4,0,0,Paula Letón Muñoz,Revés,Zaragoza,15/12/2000,"1,65",Zaragoza,https://www.worldpadeltour.com/jugadores/maria-cristina-lopez-fuertes/,05/04/2021
171,Neus Garau Sastre,171,26,2,0,2,0,0,Jesica Daiana Brys,Revés,Santa Maria del cami,30/04/2004,1'65,Santa Maria del cami,https://www.worldpadeltour.com/jugadores/neus-sastre-garau/,05/04/2021
172,Invernon Elodie ,174,25,2,1,1,50,1,Meites Line,,,01/01/1980,,,https://www.worldpadeltour.com/jugadores/invernon-elodie/,05/04/2021
173,Lourdes Pascual Rodríguez,174,25,3,2,1,"66,67",3,Gala León García,Revés,Mérida,29/09/1985,1.54,Badajoz,https://www.worldpadeltour.com/jugadores/lourdes-pascual-rodriguez/,05/04/2021
174,Meites Line ,174,25,2,1,1,50,1,Invernon Elodie,,,01/01/1980,,,https://www.worldpadeltour.com/jugadores/meites-line/,05/04/2021
175,Claudia Noemi Cascella Piccolo,177,24,0,0,0,0,0,Francesca Ligotti,Revés,Barletta,28/12/1992,1.71,Barletta,https://www.worldpadeltour.com/jugadores/claudia-noemi-cascella-piccolo/,05/04/2021
176,Carolina Petrelli Schiavini,178,24,0,0,0,0,1,Francesca Campigotto Canesso,Revés,Segrate,22/11/1988,"1,65",Milano,https://www.worldpadeltour.com/jugadores/carolina-petrelli-schiavini/,05/04/2021
177,Laura Gomez Pando ,178,24,0,0,0,0,1,Ana Varo Ramos,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/laura-gomez-pando/,05/04/2021
178,Paula Del Barrio Hernandez,180,23,3,1,2,"33,33",1,Itziar Mayorga Eraña,Drive,Torrelavega (Cantabria),05/03/2002,1.60,Torrelavega ,https://www.worldpadeltour.com/jugadores/paula-del-barrio-hernandez/,05/04/2021
179,Paula Puga Rey,180,23,6,0,6,0,1,Itziar Mayorga Eraña,Revés,Madrid,15/09/2000,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/paula-puga-rey/,05/04/2021
